id,referencia,marca,capacidad,ciudad,responsable
3884,ACH-43,Rico,457,Santa Fé,Alan Brito Delgado
7235,ACH-01,Sony,1549,Santa Fé,Cindy Nero
6018,ACH-22,Kalley,1388,Medellín,Santiago Norrea
6291,ACH-22,Rico,144,Melbourne,Alan Brito Delgado
1704,ACH-22,Kalley,385,Medellín,Santiago Norrea
882,ACH-01,Kalley,1733,Gold Cost,Alan Brito Delgado
1134,ACH-22,Rico,1275,La Guajira,Alex Cremento
8893,ACH-01,Kalley,1803,Santa Fé,Jhon Doe
8360,ACH-22,Sony,1182,Medellín,Alan Brito Delgado
590,ACH-22,Sony,859,La Guajira,Alan Brito Delgado
7147,ACH-22,Sony,1621,Medellín,Alan Brito Delgado
9693,ACH-43,Rico,1268,Melbourne,Alex Cremento
9546,ACH-43,Kalley,634,Medellín,Alex Cremento
3046,ACH-22,Sony,1365,Santa Fé,Jhon Doe
2874,ACH-22,Sony,1232,La Guajira,Santiago Norrea
8211,ACH-22,Rico,1865,La Guajira,Alan Brito Delgado
5318,ACH-43,Rico,1945,Santa Fé,Cindy Nero
3432,ACH-01,Sony,1591,La Guajira,Alex Cremento
3900,ACH-01,Kalley,1936,Santa Fé,Alex Cremento
4103,ACH-01,Rico,768,Medellín,Alex Cremento
711,ACH-43,Sony,1493,Melbourne,Jhon Doe
7712,ACH-01,Rico,1316,Melbourne,Alan Brito Delgado
5435,ACH-22,Kalley,1804,Gold Cost,Alan Brito Delgado
5471,ACH-22,Rico,695,Santa Fé,Cindy Nero
9489,ACH-01,Rico,668,Medellín,Cindy Nero
9412,ACH-01,Sony,1714,Melbourne,Alan Brito Delgado
3323,ACH-22,Kalley,991,Gold Cost,Santiago Norrea
1093,ACH-43,Sony,350,Santa Fé,Alan Brito Delgado
7456,ACH-01,Sony,1601,Santa Fé,Alex Cremento
4269,ACH-43,Sony,180,Melbourne,Cindy Nero
2857,ACH-01,Kalley,549,La Guajira,Alan Brito Delgado
7372,ACH-22,Sony,790,La Guajira,Santiago Norrea
6695,ACH-22,Sony,1591,Gold Cost,Alex Cremento
7401,ACH-01,Kalley,1610,La Guajira,Cindy Nero
5845,ACH-22,Kalley,1296,La Guajira,Santiago Norrea
1609,ACH-43,Kalley,1078,Melbourne,Alex Cremento
6935,ACH-43,Sony,1717,Melbourne,Jhon Doe
8673,ACH-22,Kalley,1285,La Guajira,Alex Cremento
8939,ACH-22,Sony,635,La Guajira,Alan Brito Delgado
8403,ACH-22,Kalley,713,La Guajira,Alex Cremento
8872,ACH-01,Kalley,128,Santa Fé,Cindy Nero
756,ACH-01,Sony,671,Gold Cost,Jhon Doe
1336,ACH-43,Kalley,606,La Guajira,Jhon Doe
9246,ACH-43,Sony,955,Medellín,Jhon Doe
5266,ACH-43,Rico,337,Santa Fé,Cindy Nero
2741,ACH-43,Rico,1844,Santa Fé,Alan Brito Delgado
3717,ACH-01,Kalley,442,Santa Fé,Jhon Doe
6415,ACH-01,Sony,1039,Santa Fé,Cindy Nero
9190,ACH-01,Kalley,107,Medellín,Alex Cremento
218,ACH-01,Sony,1743,Gold Cost,Alan Brito Delgado
2324,ACH-22,Rico,1763,Gold Cost,Santiago Norrea
7436,ACH-22,Sony,431,Melbourne,Cindy Nero
2856,ACH-22,Sony,880,Gold Cost,Jhon Doe
9533,ACH-22,Sony,1699,La Guajira,Alex Cremento
9913,ACH-22,Kalley,500,Gold Cost,Santiago Norrea
6481,ACH-43,Rico,1175,Santa Fé,Santiago Norrea
6228,ACH-22,Kalley,231,Melbourne,Cindy Nero
4220,ACH-22,Rico,1400,Medellín,Jhon Doe
6362,ACH-01,Kalley,675,Melbourne,Alex Cremento
3076,ACH-22,Sony,1247,Medellín,Jhon Doe
3334,ACH-22,Rico,567,Gold Cost,Santiago Norrea
5019,ACH-22,Kalley,1811,La Guajira,Alex Cremento
4182,ACH-43,Sony,1577,Medellín,Alan Brito Delgado
1143,ACH-01,Rico,555,Santa Fé,Cindy Nero
9186,ACH-01,Rico,1916,Medellín,Jhon Doe
2727,ACH-43,Rico,684,Gold Cost,Alan Brito Delgado
2887,ACH-43,Rico,187,Santa Fé,Jhon Doe
6065,ACH-01,Sony,1251,Melbourne,Alex Cremento
1611,ACH-01,Sony,725,Gold Cost,Cindy Nero
9173,ACH-01,Rico,1315,Gold Cost,Alex Cremento
5415,ACH-01,Sony,1923,Medellín,Jhon Doe
2417,ACH-22,Sony,1975,Gold Cost,Santiago Norrea
4658,ACH-43,Rico,747,Gold Cost,Alex Cremento
1990,ACH-22,Rico,1539,Medellín,Jhon Doe
3152,ACH-22,Sony,478,Melbourne,Cindy Nero
8636,ACH-43,Kalley,1103,Melbourne,Cindy Nero
1477,ACH-01,Sony,218,Santa Fé,Alex Cremento
2616,ACH-22,Sony,524,Gold Cost,Cindy Nero
4867,ACH-01,Rico,157,Santa Fé,Alex Cremento
4605,ACH-43,Sony,1711,La Guajira,Alan Brito Delgado
893,ACH-01,Kalley,1737,Gold Cost,Cindy Nero
5595,ACH-01,Rico,1813,Gold Cost,Jhon Doe
4515,ACH-22,Kalley,229,Santa Fé,Alan Brito Delgado
8569,ACH-01,Kalley,383,Gold Cost,Alex Cremento
8978,ACH-22,Kalley,1422,Gold Cost,Jhon Doe
2944,ACH-01,Rico,1781,La Guajira,Santiago Norrea
253,ACH-22,Kalley,1344,Santa Fé,Santiago Norrea
8525,ACH-43,Sony,1872,Melbourne,Cindy Nero
1103,ACH-22,Rico,958,Gold Cost,Jhon Doe
930,ACH-43,Kalley,1063,La Guajira,Alan Brito Delgado
9231,ACH-22,Rico,1699,Medellín,Santiago Norrea
8088,ACH-01,Kalley,973,Medellín,Alex Cremento
8440,ACH-01,Sony,1115,Gold Cost,Alex Cremento
3562,ACH-01,Sony,342,Gold Cost,Jhon Doe
670,ACH-22,Rico,1775,Melbourne,Alan Brito Delgado
8471,ACH-22,Rico,1593,Medellín,Alan Brito Delgado
8229,ACH-01,Rico,324,Melbourne,Jhon Doe
1633,ACH-01,Sony,1819,Medellín,Cindy Nero
6449,ACH-22,Rico,147,Gold Cost,Santiago Norrea
2709,ACH-01,Kalley,150,La Guajira,Santiago Norrea
9486,ACH-22,Rico,1201,La Guajira,Alex Cremento
172,ACH-01,Sony,1768,Melbourne,Jhon Doe
3708,ACH-01,Kalley,436,Gold Cost,Alex Cremento
4959,ACH-01,Rico,1371,Melbourne,Cindy Nero
7860,ACH-01,Sony,474,La Guajira,Santiago Norrea
4821,ACH-22,Rico,557,Gold Cost,Santiago Norrea
3752,ACH-01,Rico,339,Medellín,Alan Brito Delgado
4818,ACH-22,Kalley,1868,Melbourne,Alan Brito Delgado
2915,ACH-43,Kalley,1428,Santa Fé,Jhon Doe
1601,ACH-01,Sony,649,Gold Cost,Cindy Nero
3535,ACH-01,Kalley,1947,Gold Cost,Jhon Doe
5842,ACH-01,Sony,1160,La Guajira,Cindy Nero
3546,ACH-22,Kalley,1465,Santa Fé,Jhon Doe
9626,ACH-22,Rico,1815,Gold Cost,Alex Cremento
3071,ACH-43,Kalley,222,Medellín,Alex Cremento
7868,ACH-43,Rico,230,Medellín,Alan Brito Delgado
7063,ACH-01,Sony,1429,Melbourne,Cindy Nero
8283,ACH-01,Sony,105,La Guajira,Alan Brito Delgado
7794,ACH-43,Kalley,750,La Guajira,Cindy Nero
5895,ACH-22,Kalley,562,Santa Fé,Cindy Nero
8305,ACH-01,Kalley,1552,Santa Fé,Santiago Norrea
8202,ACH-01,Kalley,180,Gold Cost,Santiago Norrea
9406,ACH-01,Kalley,633,Medellín,Santiago Norrea
7186,ACH-43,Sony,295,Gold Cost,Alex Cremento
6555,ACH-22,Sony,512,Melbourne,Alan Brito Delgado
8119,ACH-22,Sony,1854,Gold Cost,Cindy Nero
9633,ACH-43,Kalley,915,Santa Fé,Jhon Doe
9979,ACH-22,Kalley,1633,Medellín,Jhon Doe
8534,ACH-01,Rico,479,Gold Cost,Jhon Doe
104,ACH-43,Sony,1105,Gold Cost,Cindy Nero
7208,ACH-43,Sony,1200,Santa Fé,Cindy Nero
5256,ACH-01,Sony,1042,La Guajira,Alex Cremento
5898,ACH-22,Kalley,244,Gold Cost,Alex Cremento
5734,ACH-43,Sony,1624,Gold Cost,Cindy Nero
898,ACH-22,Sony,692,Melbourne,Cindy Nero
2147,ACH-22,Kalley,997,Santa Fé,Jhon Doe
6908,ACH-22,Rico,513,Gold Cost,Santiago Norrea
6981,ACH-22,Kalley,1492,Medellín,Alex Cremento
4498,ACH-01,Rico,277,La Guajira,Santiago Norrea
795,ACH-22,Sony,1773,La Guajira,Santiago Norrea
4154,ACH-22,Rico,1156,Melbourne,Santiago Norrea
4314,ACH-22,Rico,1916,Santa Fé,Jhon Doe
5106,ACH-01,Rico,1062,Melbourne,Santiago Norrea
3749,ACH-01,Sony,179,Medellín,Alex Cremento
5542,ACH-01,Kalley,119,Melbourne,Alex Cremento
8934,ACH-22,Rico,551,Medellín,Cindy Nero
1633,ACH-43,Kalley,1633,Gold Cost,Alex Cremento
3691,ACH-22,Kalley,1394,Medellín,Jhon Doe
428,ACH-01,Rico,1739,Melbourne,Alex Cremento
8504,ACH-22,Rico,977,Melbourne,Cindy Nero
4317,ACH-22,Rico,1063,Gold Cost,Alex Cremento
7857,ACH-22,Kalley,1000,Medellín,Cindy Nero
2942,ACH-22,Kalley,1048,La Guajira,Alan Brito Delgado
5772,ACH-01,Sony,1262,Gold Cost,Jhon Doe
8055,ACH-01,Kalley,1748,Gold Cost,Cindy Nero
2548,ACH-22,Kalley,1174,Santa Fé,Alex Cremento
1234,ACH-01,Kalley,1095,Medellín,Jhon Doe
3831,ACH-43,Sony,982,Medellín,Santiago Norrea
4780,ACH-01,Sony,390,Medellín,Santiago Norrea
6135,ACH-01,Kalley,1279,La Guajira,Cindy Nero
1617,ACH-22,Sony,1775,Gold Cost,Jhon Doe
5557,ACH-01,Kalley,622,Melbourne,Alex Cremento
109,ACH-22,Kalley,1408,Melbourne,Santiago Norrea
8984,ACH-43,Sony,262,Melbourne,Alan Brito Delgado
395,ACH-22,Kalley,143,Gold Cost,Santiago Norrea
8707,ACH-43,Sony,1686,Medellín,Santiago Norrea
5969,ACH-43,Sony,386,La Guajira,Alan Brito Delgado
943,ACH-01,Kalley,902,La Guajira,Cindy Nero
281,ACH-43,Rico,485,Medellín,Jhon Doe
8441,ACH-22,Rico,769,Gold Cost,Cindy Nero
1589,ACH-43,Kalley,1192,Medellín,Cindy Nero
1469,ACH-22,Rico,1842,Melbourne,Alan Brito Delgado
3184,ACH-01,Rico,175,Melbourne,Santiago Norrea
6888,ACH-01,Sony,1588,Gold Cost,Cindy Nero
5002,ACH-01,Rico,1000,Medellín,Jhon Doe
1482,ACH-22,Rico,1187,Santa Fé,Jhon Doe
8402,ACH-22,Kalley,1536,Gold Cost,Santiago Norrea
9480,ACH-01,Rico,1900,Santa Fé,Santiago Norrea
5054,ACH-01,Rico,1897,Gold Cost,Santiago Norrea
7682,ACH-01,Kalley,177,Melbourne,Jhon Doe
4617,ACH-01,Kalley,896,La Guajira,Alex Cremento
3744,ACH-22,Rico,321,Gold Cost,Santiago Norrea
7918,ACH-22,Rico,1014,Santa Fé,Alan Brito Delgado
9994,ACH-01,Rico,631,Gold Cost,Santiago Norrea
8543,ACH-22,Sony,1500,Melbourne,Alex Cremento
4074,ACH-43,Kalley,1936,Melbourne,Jhon Doe
6302,ACH-43,Rico,532,La Guajira,Santiago Norrea
6045,ACH-22,Kalley,1582,Santa Fé,Alex Cremento
3669,ACH-43,Rico,1432,Gold Cost,Jhon Doe
7821,ACH-01,Rico,1792,Melbourne,Cindy Nero
823,ACH-01,Rico,1539,La Guajira,Cindy Nero
3415,ACH-01,Sony,1449,Santa Fé,Jhon Doe
7169,ACH-22,Rico,1730,Gold Cost,Cindy Nero
9631,ACH-01,Sony,974,Melbourne,Alex Cremento
6080,ACH-22,Rico,1539,Medellín,Santiago Norrea
1694,ACH-01,Kalley,1104,Melbourne,Alex Cremento
8833,ACH-01,Sony,1042,Santa Fé,Alex Cremento
805,ACH-43,Sony,170,Gold Cost,Santiago Norrea
152,ACH-43,Kalley,1212,Medellín,Alan Brito Delgado
7470,ACH-22,Rico,1009,Gold Cost,Cindy Nero
4798,ACH-22,Sony,1433,Medellín,Cindy Nero
4755,ACH-22,Kalley,1874,Melbourne,Cindy Nero
4541,ACH-22,Sony,356,Medellín,Santiago Norrea
6155,ACH-22,Kalley,771,Santa Fé,Alex Cremento
7408,ACH-22,Rico,329,Medellín,Alex Cremento
8565,ACH-43,Kalley,617,Gold Cost,Alan Brito Delgado
5593,ACH-22,Rico,504,Gold Cost,Alex Cremento
5869,ACH-22,Kalley,159,Santa Fé,Cindy Nero
4145,ACH-22,Kalley,1464,Gold Cost,Alan Brito Delgado
4899,ACH-43,Rico,1673,Melbourne,Cindy Nero
7747,ACH-22,Rico,1477,Medellín,Cindy Nero
4202,ACH-43,Kalley,1856,Medellín,Santiago Norrea
843,ACH-43,Kalley,1590,Medellín,Cindy Nero
2117,ACH-22,Rico,313,Medellín,Alan Brito Delgado
261,ACH-22,Sony,120,Melbourne,Cindy Nero
6729,ACH-43,Sony,1428,Santa Fé,Alex Cremento
8572,ACH-22,Rico,717,Gold Cost,Santiago Norrea
8407,ACH-43,Kalley,162,La Guajira,Jhon Doe
654,ACH-22,Rico,861,Melbourne,Santiago Norrea
986,ACH-22,Kalley,1325,Medellín,Alan Brito Delgado
3318,ACH-01,Sony,459,Medellín,Jhon Doe
981,ACH-22,Sony,602,La Guajira,Cindy Nero
841,ACH-43,Rico,269,Melbourne,Santiago Norrea
9289,ACH-43,Kalley,605,Medellín,Alex Cremento
5569,ACH-43,Sony,509,La Guajira,Jhon Doe
1705,ACH-43,Rico,553,Melbourne,Alex Cremento
7779,ACH-43,Kalley,1077,Santa Fé,Jhon Doe
8124,ACH-22,Kalley,135,Melbourne,Alan Brito Delgado
7507,ACH-43,Rico,1466,Medellín,Alan Brito Delgado
155,ACH-01,Kalley,513,Santa Fé,Cindy Nero
9584,ACH-43,Sony,973,Medellín,Alan Brito Delgado
2628,ACH-22,Sony,1490,Medellín,Alan Brito Delgado
4185,ACH-01,Kalley,1930,Santa Fé,Alan Brito Delgado
802,ACH-43,Rico,873,La Guajira,Alex Cremento
4233,ACH-43,Sony,560,La Guajira,Santiago Norrea
489,ACH-43,Kalley,1776,Gold Cost,Santiago Norrea
3459,ACH-01,Rico,852,Melbourne,Alan Brito Delgado
4006,ACH-01,Rico,1752,La Guajira,Alex Cremento
500,ACH-43,Rico,1320,Medellín,Santiago Norrea
3821,ACH-43,Rico,781,Medellín,Cindy Nero
2843,ACH-01,Rico,592,La Guajira,Alex Cremento
9767,ACH-43,Kalley,1341,Melbourne,Alan Brito Delgado
5273,ACH-22,Sony,1717,Gold Cost,Cindy Nero
5895,ACH-01,Kalley,1914,Santa Fé,Santiago Norrea
5713,ACH-01,Rico,618,La Guajira,Alex Cremento
5674,ACH-01,Kalley,1982,Santa Fé,Jhon Doe
1042,ACH-01,Kalley,1308,Santa Fé,Alex Cremento
7839,ACH-22,Kalley,749,Melbourne,Alan Brito Delgado
1641,ACH-22,Sony,1970,Gold Cost,Santiago Norrea
5901,ACH-01,Kalley,862,Melbourne,Alan Brito Delgado
8241,ACH-43,Kalley,1795,Gold Cost,Santiago Norrea
4899,ACH-43,Rico,706,Gold Cost,Jhon Doe
2053,ACH-43,Kalley,1525,Gold Cost,Jhon Doe
9123,ACH-43,Kalley,491,Gold Cost,Jhon Doe
1923,ACH-22,Kalley,1121,Gold Cost,Santiago Norrea
1291,ACH-01,Sony,751,Melbourne,Santiago Norrea
6767,ACH-01,Sony,1882,Gold Cost,Jhon Doe
1611,ACH-43,Rico,1566,La Guajira,Alex Cremento
7154,ACH-22,Rico,1401,La Guajira,Alex Cremento
1474,ACH-43,Kalley,1418,Medellín,Alex Cremento
2471,ACH-43,Kalley,412,Medellín,Santiago Norrea
9788,ACH-43,Rico,1660,La Guajira,Alan Brito Delgado
9003,ACH-43,Kalley,256,Gold Cost,Santiago Norrea
1456,ACH-22,Sony,1450,La Guajira,Jhon Doe
7739,ACH-43,Kalley,695,Gold Cost,Jhon Doe
1323,ACH-01,Rico,788,Melbourne,Cindy Nero
4783,ACH-43,Rico,634,Santa Fé,Santiago Norrea
6350,ACH-22,Kalley,748,Gold Cost,Santiago Norrea
861,ACH-22,Rico,658,Santa Fé,Alex Cremento
7422,ACH-01,Kalley,944,Gold Cost,Cindy Nero
7400,ACH-01,Sony,1962,Medellín,Alan Brito Delgado
1499,ACH-22,Rico,1687,Santa Fé,Alex Cremento
6152,ACH-43,Sony,1778,La Guajira,Jhon Doe
834,ACH-22,Kalley,1559,La Guajira,Jhon Doe
2227,ACH-43,Rico,101,La Guajira,Alan Brito Delgado
1045,ACH-22,Sony,1074,Melbourne,Alan Brito Delgado
9782,ACH-01,Rico,350,Gold Cost,Santiago Norrea
2097,ACH-22,Kalley,1067,Medellín,Cindy Nero
1813,ACH-22,Sony,1417,Santa Fé,Cindy Nero
4108,ACH-01,Rico,412,Melbourne,Alex Cremento
8962,ACH-01,Kalley,1919,Medellín,Alan Brito Delgado
2694,ACH-43,Sony,547,Melbourne,Santiago Norrea
7659,ACH-22,Kalley,1462,Medellín,Alan Brito Delgado
9241,ACH-22,Rico,827,Santa Fé,Jhon Doe
5920,ACH-22,Rico,228,Medellín,Cindy Nero
3426,ACH-22,Rico,1494,Medellín,Alan Brito Delgado
7388,ACH-43,Sony,1095,Melbourne,Cindy Nero
1534,ACH-22,Kalley,753,Gold Cost,Santiago Norrea
4222,ACH-01,Sony,1365,Melbourne,Cindy Nero
5882,ACH-22,Kalley,1757,Medellín,Jhon Doe
5676,ACH-01,Kalley,208,Melbourne,Alex Cremento
7932,ACH-22,Kalley,1073,Gold Cost,Santiago Norrea
6561,ACH-01,Rico,408,Santa Fé,Alex Cremento
7497,ACH-43,Rico,1303,La Guajira,Santiago Norrea
4886,ACH-01,Rico,1122,Medellín,Alan Brito Delgado
7373,ACH-22,Sony,365,Gold Cost,Alex Cremento
1697,ACH-43,Sony,1379,Santa Fé,Alan Brito Delgado
5146,ACH-22,Rico,1199,Gold Cost,Alex Cremento
5366,ACH-01,Rico,229,Medellín,Alex Cremento
4586,ACH-43,Kalley,462,Santa Fé,Cindy Nero
5983,ACH-43,Sony,523,Medellín,Alan Brito Delgado
140,ACH-22,Sony,871,Santa Fé,Jhon Doe
940,ACH-43,Sony,398,La Guajira,Santiago Norrea
3378,ACH-22,Rico,712,Melbourne,Santiago Norrea
2091,ACH-22,Kalley,100,La Guajira,Santiago Norrea
3070,ACH-01,Kalley,421,Melbourne,Jhon Doe
2433,ACH-22,Sony,522,Santa Fé,Cindy Nero
4804,ACH-01,Rico,782,La Guajira,Cindy Nero
147,ACH-01,Rico,857,La Guajira,Santiago Norrea
9470,ACH-01,Sony,1768,Melbourne,Jhon Doe
577,ACH-43,Sony,1101,Melbourne,Alan Brito Delgado
3522,ACH-01,Rico,236,Gold Cost,Santiago Norrea
9868,ACH-01,Kalley,140,Melbourne,Santiago Norrea
7588,ACH-01,Kalley,1111,Melbourne,Cindy Nero
1195,ACH-01,Rico,370,Gold Cost,Alan Brito Delgado
3700,ACH-43,Rico,1561,Gold Cost,Alan Brito Delgado
5478,ACH-43,Rico,1443,Medellín,Santiago Norrea
4299,ACH-01,Sony,1882,Melbourne,Cindy Nero
4721,ACH-43,Kalley,1208,Medellín,Alan Brito Delgado
5933,ACH-01,Sony,437,Melbourne,Jhon Doe
6055,ACH-43,Sony,354,Medellín,Cindy Nero
7758,ACH-43,Kalley,305,La Guajira,Alex Cremento
4931,ACH-22,Sony,912,Santa Fé,Santiago Norrea
3590,ACH-43,Rico,1181,Medellín,Alan Brito Delgado
4324,ACH-22,Rico,704,La Guajira,Alex Cremento
1958,ACH-22,Rico,921,La Guajira,Jhon Doe
5645,ACH-22,Sony,1207,Medellín,Alex Cremento
7989,ACH-43,Kalley,1106,Melbourne,Santiago Norrea
799,ACH-22,Rico,1597,Medellín,Jhon Doe
765,ACH-43,Sony,1734,La Guajira,Cindy Nero
2527,ACH-43,Rico,1055,Gold Cost,Jhon Doe
1064,ACH-22,Rico,1084,La Guajira,Alex Cremento
7445,ACH-22,Kalley,520,La Guajira,Santiago Norrea
6014,ACH-43,Kalley,1344,Gold Cost,Alan Brito Delgado
6457,ACH-01,Sony,797,Santa Fé,Alex Cremento
9990,ACH-01,Rico,1738,Medellín,Santiago Norrea
1577,ACH-22,Rico,1267,Gold Cost,Santiago Norrea
637,ACH-22,Rico,612,Melbourne,Santiago Norrea
3590,ACH-01,Sony,1420,Melbourne,Alex Cremento
2478,ACH-01,Rico,524,Gold Cost,Santiago Norrea
6493,ACH-22,Sony,304,La Guajira,Alex Cremento
4810,ACH-43,Rico,450,Gold Cost,Alan Brito Delgado
3010,ACH-22,Sony,785,La Guajira,Jhon Doe
